This is a record of the ancestors of Jesus the Messiah , a descendant of David and of Abraham : ||| Das Buch der Geschichte Jesu Christi , des Sohnes Davids , des Sohnes Abrahams :
At that same time Jesus was filled with the joy of the Holy Spirit , and he said , “ O Father , Lord of heaven and earth , thank you for hiding these things from those who think themselves wise and clever , and for revealing them to the childlike . Yes , Father , it pleased you to do it this way . ||| Zu derselben Stunde frohlockte er im heiligen Geist und sprach : „ Ich preise dich öffentlich , Vater , Herr des Himmels und der Erde , weil du diese Dinge vor Weisen und Intellektuellen sorgfältig verborgen und sie Unmündigen geoffenbart hast . Ja , o Vater , denn so zu tun ist vor dir wohlgefällig gewesen .
“ My Father has entrusted everything to me . No one truly knows the Son except the Father , and no one truly knows the Father except the Son and those to whom the Son chooses to reveal him . ” ||| Alle Dinge sind mir von meinem Vater übergeben worden , und wer der Sohn ist , weiß niemand als der Vater , und wer der Vater ist , [ weiß ] niemand als der Sohn und der , dem der Sohn ihn offenbaren will . “
Then when they were alone , he turned to the disciples and said , “ Blessed are the eyes that see what you have seen . ||| Darauf wandte er sich den Jüngern allein zu und sprach : „ Glücklich sind die Augen , die die Dinge sehen , die ihr seht .
I tell you , many prophets and kings longed to see what you see , but they didn’t see it . And they longed to hear what you hear , but they didn’t hear it . ” ||| Denn ich sage euch : Viele Propheten und Könige begehrten die Dinge zu sehen , die ihr seht , sahen sie aber nicht , und die Dinge zu hören , die ihr hört , hörten sie aber nicht . “
One day an expert in religious law stood up to test Jesus by asking him this question : “ Teacher , what should I do to inherit eternal life ? ” ||| Nun siehe , ein gewisser Gesetzeskundiger stand auf , um ihn auf die Probe zu stellen , und sprach : „ Lehrer , was soll ich tun , um ewiges Leben zu erben ? “
Jesus replied , “ What does the law of Moses say ? How do you read it ? ” ||| Er sprach zu ihm : „ Was steht im GESETZ geschrieben ? Wie liest du ? “
The man answered , “ ‘ You must love the L ord your God with all your heart , all your soul , all your strength , and all your mind . ’ And , ‘ Love your neighbor as yourself . ’ ” ||| Er gab zur Antwort : „ , Du sollst Jehova , deinen Gott , lieben mit deinem ganzen Herzen und mit deiner ganzen Seele und mit deiner ganzen Kraft und mit deinem ganzen Sinn ‘ und ‚ deinen Nächsten wie dich selbst ‘ . “
“ Right ! ” Jesus told him . “ Do this and you will live ! ” ||| Er sprach zu ihm : „ Du hast richtig geantwortet ; ‚ tu das weiterhin , und du wirst Leben erlangen ‘ . “
The man wanted to justify his actions , so he asked Jesus , “ And who is my neighbor ? ” ||| Da aber der Mann beweisen wollte , daß er gerecht sei , sagte er zu Jesus : „ Wer ist in Wirklichkeit mein Nächster ? “
Jesus replied with a story : “ A Jewish man was traveling from Jerusalem down to Jericho , and he was attacked by bandits . They stripped him of his clothes , beat him up , and left him half dead beside the road . ||| In Erwiderung sagte Jesus : „ Ein gewisser Mensch ging von Jerusalem nach Jẹricho hinab und fiel unter Räuber , die ihn auszogen und ihm auch Schläge versetzten und weggingen und ihn halb tot zurückließen .
“ By chance a priest came along . But when he saw the man lying there , he crossed to the other side of the road and passed him by . ||| Nun traf es sich , daß ein gewisser Priester jenen Weg hinabging , doch als er ihn sah , ging er auf der entgegengesetzten Seite vorüber .
A Temple assistant walked over and looked at him lying there , but he also passed by on the other side . ||| Ebenso ging auch ein Levịt , als er an die Stelle hinabkam und ihn sah , auf der entgegengesetzten Seite vorüber .
“ Then a despised Samaritan came along , and when he saw the man , he felt compassion for him . ||| Aber ein gewisser Samarịter , der des Weges zog , kam zu ihm , und als er ihn sah , wurde er von Mitleid bewegt .
Going over to him , the Samaritan soothed his wounds with olive oil and wine and bandaged them . Then he put the man on his own donkey and took him to an inn , where he took care of him . ||| Und er trat an ihn heran und verband ihm seine Wunden , wobei er Öl und Wein auf sie goß . Dann hob er ihn auf sein eigenes Tier und brachte ihn in eine Herberge und sorgte für ihn .
The next day he handed the innkeeper two silver coins , telling him , ‘ Take care of this man . If his bill runs higher than this , I’ll pay you the next time I’m here . ’ ||| Und am nächsten Tag zog er zwei Denạre heraus , gab sie dem Herbergswirt und sprach : ‚ Sorge für ihn , und was immer du darüber ausgibst , will ich dir zurückzahlen , wenn ich hierher zurückkomme . ‘
“ Now which of these three would you say was a neighbor to the man who was attacked by bandits ? ” Jesus asked . ||| Wer von diesen dreien hat sich , wie es dir scheint , als Nächster des Mannes erwiesen , der unter die Räuber fiel ? “
The man replied , “ The one who showed him mercy . ” Then Jesus said , “ Yes , now go and do the same . ” ||| Er sagte : „ Derjenige , der ihm gegenüber barmherzig handelte . “ Darauf sprach Jesus zu ihm : „ Geh hin , und handle selbst ebenso . “
As Jesus and the disciples continued on their way to Jerusalem , they came to a certain village where a woman named Martha welcomed him into her home . ||| Als sie nun weitergingen , begab er sich in ein gewisses Dorf . Hier nahm ihn eine gewisse Frau namens Martha als Gast in das Haus auf .
Her sister , Mary , sat at the Lord’s feet , listening to what he taught . ||| Diese Frau hatte auch eine Schwester , Maria genannt , die sich jedoch zu den Füßen des Herrn niedersetzte und unablässig seinem Wort lauschte .
But Martha was distracted by the big dinner she was preparing . She came to Jesus and said , “ Lord , doesn’t it seem unfair to you that my sister just sits here while I do all the work ? Tell her to come and help me . ” ||| Martha dagegen ließ sich durch viele Dienstleistungen ablenken . So trat sie herzu und sagte : „ Herr , machst du dir nichts daraus , daß meine Schwester die Bedienung mir allein überlassen hat ? Sag ihr daher , daß sie mir Hilfe leiste . “
But the Lord said to her , “ My dear Martha , you are worried and upset over all these details ! ||| Als Antwort sprach der Herr zu ihr : „ Martha , Martha , du bist besorgt und beunruhigt um viele Dinge .
There is only one thing worth being concerned about . Mary has discovered it , and it will not be taken away from her . ” ||| Wenige Dinge jedoch sind nötig oder nur eins . Maria ihrerseits hat das gute Teil erwählt , und es wird nicht von ihr weggenommen werden . “
Once Jesus was in a certain place praying . As he finished , one of his disciples came to him and said , “ Lord , teach us to pray , just as John taught his disciples . ” ||| Als er nun einmal an einem gewissen Ort war und betete , sagte , als er aufhörte , einer seiner Jünger zu ihm : „ Herr , lehre uns beten , wie auch Johạnnes seine Jünger lehrte . “
Jesus said , “ This is how you should pray : “ Father , may your name be kept holy . May your Kingdom come soon . ||| Da sprach er zu ihnen : „ Wann immer ihr betet , so sprecht : ‚ Vater , dein Name werde geheiligt . Dein Königreich komme .
Give us each day the food we need , ||| Gib uns unser Brot für den Tag , so wie der Tag es erfordert .
and forgive us our sins , as we forgive those who sin against us . And don’t let us yield to temptation . ” ||| Und vergib uns unsere Sünden , denn auch wir selbst vergeben jedem , der uns verschuldet ist ; und bringe uns nicht in Versuchung . ‘ “
Then , teaching them more about prayer , he used this story : “ Suppose you went to a friend’s house at midnight , wanting to borrow three loaves of bread . You say to him , ||| Ferner sprach er zu ihnen : „ Wer von euch wird einen Freund haben und wird um Mitternacht zu ihm gehen und zu ihm sagen : ‚ Freund , leih mir drei Brote ,
‘ A friend of mine has just arrived for a visit , and I have nothing for him to eat . ’ ||| denn ein Freund von mir ist auf einer Reise eben zu mir gekommen , und ich habe nichts , um es ihm vorzusetzen . ‘ ?
And suppose he calls out from his bedroom , ‘ Don’t bother me . The door is locked for the night , and my family and I are all in bed . I can’t help you . ’ ||| Und jener gibt von drinnen die Antwort : ‚ Stör mich nicht weiter . Die Tür ist schon verschlossen , und meine kleinen Kinder sind mit mir im Bett ; ich kann nicht aufstehen und dir etwas geben . ‘
But I tell you thisthough he won’t do it for friendship’s sake , if you keep knocking long enough , he will get up and give you whatever you need because of your shameless persistence . ||| Ich sage euch : Wenn er auch nicht aufstehen und ihm etwas geben wird , weil er sein Freund ist , wird er bestimmt wegen seiner kühnen Beharrlichkeit aufstehen und ihm das geben , was er benötigt .
“ And so I tell you , keep on asking , and you will receive what you ask for . Keep on seeking , and you will find . Keep on knocking , and the door will be opened to you . ||| Demnach sage ich euch : Bittet unablässig , und es wird euch gegeben werden ; sucht fortwährend , und ihr werdet finden ; klopft unaufhörlich an , und es wird euch geöffnet werden .
For everyone who asks , receives . Everyone who seeks , finds . And to everyone who knocks , the door will be opened . ||| Denn jeder , der bittet , empfängt , und jeder , der sucht , findet , und jedem , der anklopft , wird geöffnet werden .
“ You fathersif your children ask for a fish , do you give them a snake instead ? ||| In der Tat , welcher Vater unter euch wird , wenn ihn sein Sohn um einen Fisch bittet , ihm statt eines Fisches wohl eine Schlange reichen ?
Or if they ask for an egg , do you give them a scorpion ? Of course not ! ||| Oder wenn er auch um ein Ei bittet , wird er ihm einen Skorpion reichen ?
So if you sinful people know how to give good gifts to your children , how much more will your heavenly Father give the Holy Spirit to those who ask him . ” ||| Wenn nun ihr , obwohl ihr böse seid , euren Kindern gute Gaben zu geben wißt , wieviel mehr wird der Vater im Himmel denen heiligen Geist geben , die ihn bitten ! “
One day Jesus cast out a demon from a man who couldn’t speak , and when the demon was gone , the man began to speak . The crowds were amazed , ||| Später trieb er einen stummen Dämon aus . Nachdem der Dämon ausgefahren war , redete der Stumme . Und die Volksmengen verwunderten sich .
but some of them said , “ No wonder he can cast out demons . He gets his power from Satan , the prince of demons . ” ||| Einige von ihnen aber sagten : „ Er treibt die Dämọnen durch Beelzebub , den Herrscher der Dämọnen , aus . “
Others , trying to test Jesus , demanded that he show them a miraculous sign from heaven to prove his authority . ||| Andere jedoch trachteten danach , von ihm ein Zeichen vom Himmel zu erhalten , um ihn zu versuchen .
He knew their thoughts , so he said , “ Any kingdom divided by civil war is doomed . A family splintered by feuding will fall apart . ||| Er erkannte ihre Gedanken und sprach zu ihnen : „ Jedes Königreich , das gegen sich selbst entzweit ist , wird verwüstet , und ein gegen sich selbst [ entzweites ] Haus stürzt ein .
You say I am empowered by Satan . But if Satan is divided and fighting against himself , how can his kingdom survive ? ||| Wenn nun auch der Satan gegen sich selbst entzweit ist , wie wird da sein Königreich bestehen ? Denn ihr sagt , ich treibe die Dämọnen durch Beelzebub aus .
And if I am empowered by Satan , what about your own exorcists ? They cast out demons , too , so they will condemn you for what you have said . ||| Wenn ich durch Beelzebub die Dämọnen austreibe , durch wen treiben eure Söhne sie aus ? Darum werden sie eure Richter sein .
But if I am casting out demons by the power of God , then the Kingdom of God has arrived among you . ||| Wenn ich aber durch den Finger Gottes die Dämọnen austreibe , so hat das Königreich Gottes euch wirklich eingeholt .
For when a strong man like Satan is fully armed and guards his palace , his possessions are safe ||| Wenn ein starker , gutbewaffneter Mann seinen Palast bewacht , bleibt seine Habe in Frieden .
until someone even stronger attacks and overpowers him , strips him of his weapons , and carries off his belongings . ||| Wenn aber ein Stärkerer als er gegen ihn herankommt und ihn besiegt , nimmt er ihm seine volle Rüstung weg , auf die er vertraute , und er teilt die Dinge aus , die er von ihm erbeutet hat .
“ Anyone who isn’t with me opposes me , and anyone who isn’t working with me is actually working against me . ||| Wer nicht auf meiner Seite ist , ist gegen mich , und wer nicht mit mir sammelt , zerstreut .
“ When an evil spirit leaves a person , it goes into the desert , searching for rest . But when it finds none , it says , ‘ I will return to the person I came from . ’ ||| Wenn ein unreiner Geist von einem Menschen ausfährt , durchwandert er dürre Orte , um eine Ruhestätte zu suchen , und nachdem er keine gefunden hat , sagt er : ‚ Ich will in mein Haus zurückkehren , aus dem ich ausgezogen bin . ‘
So it returns and finds that its former home is all swept and in order . ||| Und bei der Ankunft findet er es sauber gefegt und geschmückt .
Then the spirit finds seven other spirits more evil than itself , and they all enter the person and live there . And so that person is worse off than before . ” ||| Dann geht er hin und nimmt sieben andere Geister mit sich , die bösartiger sind als er selbst , und nachdem sie eingezogen sind , wohnen sie dort ; und die letzten Umstände jenes Menschen werden schlimmer als die ersten . “
As he was speaking , a woman in the crowd called out , “ God bless your motherthe womb from which you came , and the breasts that nursed you ! ” ||| Als er nun diese Dinge sagte , erhob eine gewisse Frau aus der Volksmenge ihre Stimme und sagte zu ihm : „ Glücklich der Schoß , der dich getragen , und die Brüste , die du gesogen ! “
Jesus replied , “ But even more blessed are all who hear the word of God and put it into practice . ” ||| Er aber sprach : „ Nein , glücklich sind vielmehr die , die das Wort Gottes hören und es bewahren ! “
As the crowd pressed in on Jesus , he said , “ This evil generation keeps asking me to show them a miraculous sign . But the only sign I will give them is the sign of Jonah . ||| Als die Volksmengen sich in Massen sammelten , fing er an zu sagen : „ Diese Generation ist eine böse Generation ; sie sucht nach einem Zeichen . Doch kein Zeichen wird ihr gegeben werden , ausgenommen das Zeichen Jonas .
What happened to him was a sign to the people of Nineveh that God had sent him . What happens to the Son of Man will be a sign to these people that he was sent by God . ||| Denn so , wie Jona für die Ninivịten ein Zeichen wurde , ebenso wird es auch der Menschensohn für diese Generation sein .
“ The queen of Sheba will stand up against this generation on judgment day and condemn it , for she came from a distant land to hear the wisdom of Solomon . Now someone greater than Solomon is herebut you refuse to listen . ||| Die Königin des Südens wird im Gericht mit den Männern dieser Generation zum Aufstehen veranlaßt werden und wird sie verurteilen ; denn sie kam von den Enden der Erde , um die Weisheit Sạlomos zu hören , doch siehe , mehr als Sạlomo ist hier !
The people of Nineveh will also stand up against this generation on judgment day and condemn it , for they repented of their sins at the preaching of Jonah . Now someone greater than Jonah is herebut you refuse to repent . ||| Die Männer von Nịnive werden im Gericht mit dieser Generation aufstehen und werden sie verurteilen ; denn sie bereuten auf das hin , was Jona predigte ; doch siehe , mehr als Jona ist hier !
“ No one lights a lamp and then hides it or puts it under a basket . Instead , a lamp is placed on a stand , where its light can be seen by all who enter the house . ||| Nachdem jemand eine Lampe angezündet hat , stellt er sie nicht in einen verborgenen Winkel noch unter ein Maßgefäß , sondern auf den Leuchter , damit die Eintretenden das Licht sehen können .
“ Your eye is a lamp that provides light for your body . When your eye is good , your whole body is filled with light . But when it is bad , your body is filled with darkness . ||| Die Lampe des Leibes ist dein Auge . Wenn dein Auge lauter ist , wird dein ganzer Leib ebenfalls licht sein ; wenn es aber böse ist , ist auch dein Leib finster .
Make sure that the light you think you have is not actually darkness . ||| Sei daher wachsam . Vielleicht ist das Licht , das in dir ist , Finsternis .
If you are filled with light , with no dark corners , then your whole life will be radiant , as though a floodlight were filling you with light . ” ||| Wenn nun dein ganzer Leib licht ist und gar keinen finsteren Teil hat , wird er ganz licht sein , so wie wenn eine Lampe dir durch ihre Strahlen Licht gibt . “
As Jesus was speaking , one of the Pharisees invited him home for a meal . So he went in and took his place at the table . ||| Als er dies geredet hatte , bat ihn ein Pharisäer , bei ihm zu speisen . Da ging er hinein und lag zu Tisch .
His host was amazed to see that he sat down to eat without first performing the hand-washing ceremony required by Jewish custom . ||| Der Pharisäer war jedoch überrascht , als er sah , daß er sich vor dem Mittagessen nicht zuerst wusch .
Then the Lord said to him , “ You Pharisees are so careful to clean the outside of the cup and the dish , but inside you are filthyfull of greed and wickedness ! ||| Der Herr aber sprach zu ihm : „ Nun , ihr Pharisäer , ihr reinigt das Äußere des Bechers und der Schüssel , aber euer Inneres ist voll Raub und Bosheit .
Fools ! Didn’t God make the inside as well as the outside ? ||| Ihr Unvernünftigen ! Hat nicht der , der das Äußere machte , auch das Innere gemacht ?
So clean the inside by giving gifts to the poor , and you will be clean all over . ||| Gebt jedoch als Gaben der Barmherzigkeit die Dinge , die darin sind , und siehe , alle [ anderen ] Dinge an euch sind rein .
“ What sorrow awaits you Pharisees ! For you are careful to tithe even the tiniest income from your herb gardens , but you ignore justice and the love of God . You should tithe , yes , but do not neglect the more important things . ||| Wehe aber euch , ihr Pharisäer , denn ihr gebt den Zehnten von der Minze und der Raute und von jedem [ anderen ] Gartengewächs , übergeht aber das Recht und die Liebe Gottes ! Diese Dinge wart ihr zu tun verpflichtet , doch jene anderen Dinge solltet ihr nicht unterlassen .
“ What sorrow awaits you Pharisees ! For you love to sit in the seats of honor in the synagogues and receive respectful greetings as you walk in the marketplaces . ||| Wehe euch , ihr Pharisäer , denn ihr liebt die vorderen Sitze in den Synagogen und die Begrüßungen auf den Marktplätzen !
Yes , what sorrow awaits you ! For you are like hidden graves in a field . People walk over them without knowing the corruption they are stepping on . ” ||| Wehe euch , denn ihr seid wie jene Gedächtnisgrüfte , die nicht erkennbar sind , so daß Leute darüber hingehen , ohne [ es ] zu wissen ! “
“ Teacher , ” said an expert in religious law , “ you have insulted us , too , in what you just said . ” ||| Da entgegnete ihm einer der Gesetzeskundigen : „ Lehrer , indem du diese Dinge sagst , beleidigst du auch uns . “
“ Yes , ” said Jesus , “ what sorrow also awaits you experts in religious law ! For you crush people with unbearable religious demands , and you never lift a finger to ease the burden . ||| Darauf sprach er : „ Wehe auch euch , ihr Gesetzeskundigen , weil ihr den Menschen Lasten aufladet , die schwer zu tragen sind , doch ihr selbst rührt die Lasten mit keinem einzigen eurer Finger an !
What sorrow awaits you ! For you build monuments for the prophets your own ancestors killed long ago . ||| Wehe euch , denn ihr baut die Gedächtnisgrüfte der Propheten , eure Vorväter aber töteten sie !
But in fact , you stand as witnesses who agree with what your ancestors did . They killed the prophets , and you join in their crime by building the monuments ! ||| Gewiß seid ihr Zeugen von den Taten eurer Vorväter , und doch stimmt ihr ihnen zu , denn diese haben die Propheten getötet , ihr aber baut [ ihre Grabmäler ] .
This is what God in his wisdom said about you : ‘ I will send prophets and apostles to them , but they will kill some and persecute the others . ’ ||| Deswegen hat die Weisheit Gottes auch gesagt : ‚ Ich will Propheten und Apostel zu ihnen senden , und sie werden einige von ihnen töten und verfolgen ,
“ As a result , this generation will be held responsible for the murder of all God’s prophets from the creation of the world ||| so daß das Blut aller Propheten , das seit Grundlegung der Welt vergossen worden ist , von dieser Generation gefordert werden kann ,
from the murder of Abel to the murder of Zechariah , who was killed between the altar and the sanctuary . Yes , it will certainly be charged against this generation . ||| vom Blut Abels an bis zum Blut Sachạrjas , der zwischen dem Altar und dem Haus umgebracht wurde . ‘ Ja , ich sage euch , es wird von dieser Generation gefordert werden .
“ What sorrow awaits you experts in religious law ! For you remove the key to knowledge from the people . You don’t enter the Kingdom yourselves , and you prevent others from entering . ” ||| Wehe euch , ihr Gesetzeskundigen , denn ihr habt den Schlüssel der Erkenntnis weggenommen ; ihr selbst seid nicht hineingegangen , und die Hineingehenden habt ihr gehindert ! “
As Jesus was leaving , the teachers of religious law and the Pharisees became hostile and tried to provoke him with many questions . ||| Als er dann von dort hinausgegangen war , fingen die Schriftgelehrten und die Pharisäer an , ihm schrecklich zuzusetzen und ihn mit Fragen über weitere Dinge zu bestürmen ,
They wanted to trap him into saying something they could use against him . ||| wobei sie ihm auflauerten , um etwas aus seinem Mund zu erhaschen .
Meanwhile , the crowds grew until thousands were milling about and stepping on each other . Jesus turned first to his disciples and warned them , “ Beware of the yeast of the Phariseestheir hypocrisy . ||| Als sich unterdessen die Volksmenge zu so vielen Tausenden versammelt hatte , daß sie einander traten , fing er an , zuerst zu seinen Jüngern zu sagen : „ Nehmt euch vor dem Sauerteig der Pharisäer in acht , der Heuchelei ist .
The time is coming when everything that is covered up will be revealed , and all that is secret will be made known to all . ||| Doch da ist nichts sorgsam verhüllt , was nicht geoffenbart werden wird , und verborgen , was nicht bekanntwerden wird .
Whatever you have said in the dark will be heard in the light , and what you have whispered behind closed doors will be shouted from the housetops for all to hear ! ||| Darum wird das , was ihr in der Finsternis redet , im Licht gehört werden , und was ihr in privaten Räumen flüstert , wird von den Hausdächern gepredigt werden .
“ Dear friends , don’t be afraid of those who want to kill your body ; they cannot do any more to you after that . ||| Ferner sage ich euch , meinen Freunden : Fürchtet euch nicht vor denen , die den Leib töten und danach nichts weiter tun können .
But I’ll tell you whom to fear . Fear God , who has the power to kill you and then throw you into hell . Yes , he’s the one to fear . ||| Ich will euch aber zeigen , wen ihr fürchten sollt : Fürchtet den , der nach dem Töten Gewalt hat , in die Gehẹnna zu werfen . Ja , ich sage euch , diesen fürchtet .
“ What is the price of five sparrowstwo copper coins ? Yet God does not forget a single one of them . ||| Verkauft man nicht fünf Sperlinge für zwei Münzen von geringem Wert ? Doch nicht einer von ihnen wird vor Gott vergessen .
And the very hairs on your head are all numbered . So don’t be afraid ; you are more valuable to God than a whole flock of sparrows . ||| Aber sogar die Haare eures Hauptes sind alle gezählt . Fürchtet euch nicht ; ihr seid mehr wert als viele Sperlinge .
“ I tell you the truth , everyone who acknowledges me publicly here on earth , the Son of Man will also acknowledge in the presence of God’s angels . ||| Ich sage euch nun : Jeder , der vor den Menschen bekennt , mit mir in Gemeinschaft zu sein , mit dem in Gemeinschaft zu sein , wird auch der Menschensohn vor den Engeln Gottes bekennen .
But anyone who denies me here on earth will be denied before God’s angels . ||| Wer mich aber vor den Menschen verleugnet , wird vor den Engeln Gottes verleugnet werden .
Anyone who speaks against the Son of Man can be forgiven , but anyone who blasphemes the Holy Spirit will not be forgiven . ||| Und jeder , der ein Wort gegen den Menschensohn redet , dem wird vergeben werden ; dem aber , der gegen den heiligen Geist lästert , wird nicht vergeben werden .
“ And when you are brought to trial in the synagogues and before rulers and authorities , don’t worry about how to defend yourself or what to say , ||| Wenn man euch aber vor öffentliche Versammlungen und Regierungsbeamte und Gewalthaber stellt , so macht euch keine Sorgen darüber , wie oder was ihr zur Verteidigung reden oder was ihr sagen werdet ;
for the Holy Spirit will teach you at that time what needs to be said . ” ||| denn der heilige Geist wird euch in ebenjener Stunde die Dinge lehren , die ihr sagen sollt . “
Then someone called from the crowd , “ Teacher , please tell my brother to divide our father’s estate with me . ” ||| Dann sprach jemand aus der Volksmenge zu ihm : „ Lehrer , sag meinem Bruder , daß er die Erbschaft mit mir teile . “
Jesus replied , “ Friend , who made me a judge over you to decide such things as that ? ” ||| Er sprach zu ihm : „ Mensch , wer hat mich zum Richter oder Erbteiler über euch gesetzt ? “
Then he said , “ Beware ! Guard against every kind of greed . Life is not measured by how much you own . ” ||| Dann sagte er zu ihnen : „ Haltet eure Augen offen , und hütet euch vor jeder Art von Habsucht , denn wenn jemand auch in Fülle hat , kommt doch sein Leben nicht aus den Dingen , die er besitzt . “
Then he told them a story : “ A rich man had a fertile farm that produced fine crops . ||| Darauf redete er in einem Gleichnis zu ihnen , indem er sprach : „ Das Land eines gewissen Reichen lieferte einen guten Ertrag .
He said to himself , ‘ What should I do ? I don’t have room for all my crops . ’ ||| Demzufolge begann er , bei sich zu überlegen , und sagte : ‚ Was soll ich tun , nun , da ich keinen Raum habe , wohin ich meine Ernten einbringen könnte ? ‘
Then he said , ‘ I know ! I’ll tear down my barns and build bigger ones . Then I’ll have room enough to store all my wheat and other goods . ||| Da sprach er : ‚ So will ich ’s machen : Ich will meine Vorratshäuser abbrechen und größere bauen , und ich will dorthin all mein Getreide und alle meine guten Dinge einsammeln ;
And I’ll sit back and say to myself , “ My friend , you have enough stored away for years to come . Now take it easy ! Eat , drink , and be merry ! ” ’ ||| und ich will zu meiner Seele sagen : „ Seele , du hast viele gute Dinge für viele Jahre aufgehäuft ; laß dir ’s wohl sein , iß , trink und sei fröhlich . “ ‘
“ But God said to him , ‘ You fool ! You will die this very night . Then who will get everything you worked for ? ’ ||| Gott aber sprach zu ihm : ‚ [ Du ] Unvernünftiger , in dieser Nacht wird man deine Seele von dir fordern . Wer soll dann die Dinge haben , die du aufgespeichert hast ? ‘
“ Yes , a person is a fool to store up earthly wealth but not have a rich relationship with God . ” ||| So ergeht es dem Menschen , der Schätze für sich aufhäuft , aber nicht reich ist Gott gegenüber . “
Then , turning to his disciples , Jesus said , “ That is why I tell you not to worry about everyday lifewhether you have enough food to eat or enough clothes to wear . ||| Dann sprach er zu seinen Jüngern : „ Deswegen sage ich euch : Hört auf , euch Sorgen zu machen um eure Seele , über das , was ihr essen werdet , oder um euren Leib , über das , was ihr anziehen werdet .
For life is more than food , and your body more than clothing . ||| Denn die Seele ist mehr wert als die Speise und der Leib [ mehr ] als die Kleidung .
Look at the ravens . They don’t plant or harvest or store food in barns , for God feeds them . And you are far more valuable to him than any birds ! ||| Beachtet wohl , daß die Raben weder säen noch ernten , und sie haben weder Scheune noch Vorratshaus , und doch ernährt sie Gott . Wieviel mehr wert seid ihr als die Vögel !
Can all your worries add a single moment to your life ? ||| Wer von euch kann durch sein Sorgen seiner Lebenslänge eine Elle hinzufügen ?
And if worry can’t accomplish a little thing like that , what’s the use of worrying over bigger things ? ||| Wenn ihr daher das Geringste nicht tun könnt , warum macht ihr euch denn Sorgen um die übrigen Dinge ?
“ Look at the lilies and how they grow . They don’t work or make their clothing , yet Solomon in all his glory was not dressed as beautifully as they are . ||| Beachtet wohl , wie die Lilien wachsen ; sie mühen sich nicht ab , noch spinnen sie ; doch ich sage euch : Nicht einmal Sạlomo war in all seiner Herrlichkeit so [ schön ] gekleidet wie eine von diesen .
And if God cares so wonderfully for flowers that are here today and thrown into the fire tomorrow , he will certainly care for you . Why do you have so little faith ? ||| Wenn nun Gott die Pflanzen auf dem Feld , die heute da sind und morgen in einen Ofen geworfen werden , so kleidet , wieviel eher wird er euch , ihr Kleingläubigen , kleiden !
“ And don’t be concerned about what to eat and what to drink . Don’t worry about such things . ||| So trachtet denn nicht mehr nach dem , was ihr essen und was ihr trinken könntet , und seid nicht mehr in sorgenvoller Spannung ;
These things dominate the thoughts of unbelievers all over the world , but your Father already knows your needs . ||| denn allen diesen Dingen streben die Nationen der Welt begierig nach ; euer Vater weiß aber , daß ihr diese Dinge benötigt .
Seek the Kingdom of God above all else , and he will give you everything you need . ||| Sucht jedoch beständig sein Königreich , und diese Dinge werden euch hinzugefügt werden .
“ So don’t be afraid , little flock . For it gives your Father great happiness to give you the Kingdom . ||| Fürchte dich nicht , du kleine Herde , denn es hat eurem Vater wohlgefallen , euch das Königreich zu geben .
“ Sell your possessions and give to those in need . This will store up treasure for you in heaven ! And the purses of heaven never get old or develop holes . Your treasure will be safe ; no thief can steal it and no moth can destroy it . ||| Verkauft die Dinge , die euch gehören , und gebt Gaben der Barmherzigkeit . Macht euch Geldbeutel , die sich nicht abnutzen , einen unerschöpflichen Schatz in den Himmeln , wo kein Dieb hinkommt und keine Motte verzehrt .
Wherever your treasure is , there the desires of your heart will also be . ||| Denn wo euer Schatz ist , da wird auch euer Herz sein .
“ Be dressed for service and keep your lamps burning , ||| Eure Lenden seien umgürtet und eure Lampen brennend ,
as though you were waiting for your master to return from the wedding feast . Then you will be ready to open the door and let him in the moment he arrives and knocks . ||| und ihr selbst , seid Menschen gleich , die auf ihren Herrn warten , wenn er von der Hochzeit zurückkehrt , damit sie ihm , wenn er ankommt und anklopft , sogleich öffnen .
The servants who are ready and waiting for his return will be rewarded . I tell you the truth , he himself will seat them , put on an apron , and serve them as they sit and eat ! ||| Glücklich sind jene Sklaven , die der Herr bei seiner Ankunft wachend findet ! Wahrlich , ich sage euch : Er wird sich gürten und sie sich zu Tisch legen lassen und wird hinzutreten und sie bedienen .
He may come in the middle of the night or just before dawn . But whenever he comes , he will reward the servants who are ready . ||| Und wenn er in der zweiten , ja wenn er in der dritten Wache eintrifft und sie so vorfindet , glücklich sind sie !
“ Understand this : If a homeowner knew exactly when a burglar was coming , he would not permit his house to be broken into . ||| Dies aber wißt , daß , wenn der Hausherr gewußt hätte , zu welcher Stunde der Dieb kommen würde , er anhaltend gewacht und nicht in sein Haus hätte einbrechen lassen .
You also must be ready all the time , for the Son of Man will come when least expected . ” ||| Haltet auch ihr euch bereit , denn zu einer Stunde , da ihr es nicht für wahrscheinlich haltet , kommt der Menschensohn . “
Peter asked , “ Lord , is that illustration just for us or for everyone ? ” ||| Dann sagte Petrus : „ Herr , sagst du dieses Gleichnis für uns oder auch für alle ? “
And the Lord replied , “ A faithful , sensible servant is one to whom the master can give the responsibility of managing his other household servants and feeding them . ||| Und der Herr sprach : „ Wer ist in Wirklichkeit der treue Verwalter , der verständige , den sein Herr über seine Dienerschaft setzen wird , um ihnen fortwährend ihr Maß an Speisevorrat zur rechten Zeit zu geben ?
If the master returns and finds that the servant has done a good job , there will be a reward . ||| Glücklich ist jener Sklave , wenn ihn sein Herr bei der Ankunft so tuend findet .
